stop_id,stop_name,stop_lat,stop_lon,parent_station
R16,Times Sq-42 St,40.754672,-73.986754,R16
R16N,Times Sq-42 St,40.755983,-73.986229,R16
R16S,Times Sq-42 St,40.754179,-73.987151,R16
127,Times Sq-42 St,40.755290,-73.987495,127
127N,Times Sq-42 St,40.756312,-73.987495,127
127S,Times Sq-42 St,40.754767,-73.987495,127
725,Times Sq-42 St,40.755983,-73.986229,725
725N,Times Sq-42 St,40.756512,-73.987632,725
725S,Times Sq-42 St,40.754921,-73.985708,725
S120,Times Sq-42 St Shuttle,40.755983,-73.986229,S120
S120N,Times Sq-42 St Shuttle,40.756200,-73.986400,S120
S120S,Times Sq-42 St Shuttle,40.755700,-73.986000,S120
